"Data Set: T (°C)","Data Set: Ek (mV)","Data Set: Calculated T4","Data Set: Error4 (°C)","Data Set: CalcT5","Data Set: Err5 (°C)"
-6,-0.236,-5.67457118235,-0.325428817651,-6.35102458713,0.351024587134
-5,-0.197,-4.70212529748,-0.297874702522,-5.36249543002,0.362495430022
-4,-0.157,-3.7063805014,-0.293619498597,-4.34964763149,0.34964763149
-3,-0.118,-2.73707782892,-0.26292217108,-3.36309363901,0.363093639012
-2,-0.079,-1.76925893388,-0.230741066121,-2.37747122379,0.377471223785
-1,-0.039,-0.778119145645,-0.221880854355,-1.36751518294,0.367515182937
0,0,0.186829243539,-0.186829243539,-0.383695901529,0.383695901529
1,0.039,1.15042624943,-0.150426249427,0.59927302407,0.40072697593
2,0.079,2.13737187819,-0.137371878191,1.60658939206,0.393410607941
3,0.119,3.12298654612,-0.122986546124,2.61306420303,0.386935796971
4,0.158,4.08272242474,-0.082722424735,3.59359129497,0.406408705032
5,0.198,5.06584035996,-0.0658403599604,4.59847834203,0.401521657967
6,0.238,6.04775985504,-0.0477598550431,5.60259746569,0.397402534313
7,0.277,7.0040189992,-0.00401899919508,6.58089634383,0.419103656166
8,0.317,7.98369877145,0.0163012285458,7.58356604746,0.416433952544
9,0.357,8.96230784606,0.0376921539424,8.58553436517,0.414465634829
10,0.397,9.93988808866,0.0601119113385,9.58682212874,0.413177871259
11,0.437,10.9164808251,0.0835191749491,10.5874494197,0.412550580276
12,0.477,11.8921268411,0.107873158861,11.5874355824,0.412564417557
13,0.517,12.866866383,0.133133617032,12.586799237,0.413200763046
14,0.557,13.8407391567,0.159260843293,13.585558292,0.414441707983
15,0.597,14.8137843287,0.186215671343,14.5837299581,0.41627004193
16,0.637,15.7860405252,0.213959474758,15.5813307602,0.418669239806
17,0.677,16.757545833,0.242454166979,16.5783765511,0.421623448911
18,0.718,17.7525987793,0.24740122069,17.5997883841,0.400211615902
19,0.758,18.7226979708,0.277302029248,18.595756135,0.404243864959
20,0.798,19.6921581986,0.307841801419,19.5912128681,0.408787131923
21,0.838,20.6610153764,0.33898462363,20.5861718607,0.413828139274
22,0.879,21.6535051444,0.346494855602,21.6055015221,0.394498477923
23,0.919,22.6212489239,0.378751076086,22.5994907755,0.400509224534
24,0.96,23.6126700735,0.38732992647,23.6178511967,0.382148803267
25,1,24.5794410261,0.420558973909,24.6109178016,0.389082198417
26,1.041,25.5699353454,0.430064654626,25.6283548341,0.371645165895
27,1.081,26.5358695593,0.46413044067,26.62054122,0.379458779976
28,1.122,27.5255742413,0.474425758681,27.6370960493,0.362903950728
29,1.163,28.514930064,0.485069936035,28.6532186073,0.346781392669
30,1.203,29.4798509647,0.520149035254,29.644149572,0.355850428028
31,1.244,30.468615114,0.531384885991,30.6594436461,0.340556353892
32,1.285,31.4571279697,0.542872030316,31.6743302295,0.32566977048
33,1.326,32.4454211357,0.554578864305,32.6888166159,0.311183384137
34,1.366,33.4094275161,0.590572483927,33.6781802577,0.321819742334
35,1.407,34.3973772339,0.60262276607,34.6918955313,0.308104468655
36,1.448,35.3851977783,0.614802221741,35.7052294348,0.294770565245
37,1.489,36.3729183838,0.627081616151,36.7181873767,0.2818126233
38,1.53,37.3605676896,0.639432310425,37.7307743284,0.269225671612
39,1.571,38.3481737384,0.651826261609,38.7429948381,0.257005161895
40,1.612,39.3357639773,0.664236022664,39.7548530459,0.245146954107
41,1.653,40.3233652575,0.676634742468,40.7663526982,0.23364730178
42,1.694,41.3110038342,0.688996165817,41.7774971627,0.222502837341
43,1.735,42.2987053666,0.701294633424,42.7882894426,0.211710557441
44,1.776,43.2864949181,0.71350508192,43.7987321917,0.201267808277
45,1.817,44.2743969562,0.72560304385,44.8088277291,0.191172270918
46,1.858,45.2624353523,0.73756464768,45.8185780534,0.181421946633
47,1.899,46.2506333822,0.749366617791,46.8279848578,0.172015142212
48,1.941,47.2631230281,0.736876971887,47.8616566147,0.138343385349
49,1.982,48.2517130248,0.748286975216,48.8703720052,0.129627994774
50,2.023,49.2405294232,0.759470576823,49.8787472871,0.121252712881
51,2.064,50.2295931007,0.770406899293,50.8867830724,0.113216927641
52,2.106,51.2430578788,0.756942121238,51.9190534741,0.0809465259178
53,2.147,52.23268361,0.767316389952,52.9264029228,0.0735970772479
54,2.188,53.2226161354,0.77738386463,53.9334133754,0.0665866245642
55,2.23,54.2370307787,0.762969221348,54.9646333165,0.0353666835324
56,2.271,55.2276403218,0.772359678176,55.9709566199,0.0290433801276
57,2.312,56.2186107231,0.781389276884,56.9769397137,0.0230602862628
58,2.354,57.2341427306,0.765857269417,58.0071054813,-0.00710548125782
59,2.395,58.2258940792,0.774105920761,59.0123975538,-0.0123975537928
60,2.436,59.2180548993,0.781945100716,60.017346895,-0.0173468949735
61,2.478,60.2348548824,0.765145117585,61.046450723,-0.0464507229681
62,2.519,61.2278895448,0.772110455242,62.0507029332,-0.0507029332495
63,2.561,62.2456140044,0.75438599561,63.0790901667,-0.0790901666858
64,2.602,63.2395785237,0.760421476262,64.0826403151,-0.0826403150502
65,2.644,64.2582823086,0.741717691446,65.1103056726,-0.110305672569
66,2.685,65.2532277557,0.746772244275,66.1131484402,-0.113148440177
67,2.727,66.2729606499,0.727039350062,67.1400863694,-0.140086369374
68,2.768,67.2689331519,0.731066848139,68.142216296,-0.142216296024
69,2.81,68.2897398752,0.710260124786,69.1684212259,-0.168421225922
70,2.851,69.2867806149,0.713219385067,70.1698329565,-0.169832956512
71,2.893,70.3087008227,0.691299177303,71.19529955,-0.195299550031
72,2.934,71.3068460394,0.693153960632,72.195988081,-0.19598808102
73,2.976,72.3299143223,0.670085677655,73.2207114875,-0.220711487452
74,3.017,73.3291953112,0.670804688764,74.2206724133,-0.220672413317
75,3.059,74.3534411958,0.646558804242,75.2446485208,-0.244648520794
76,3.1,75.3538843082,0.646115691753,76.2438782805,-0.243878280494
77,3.142,76.3793322562,0.620667743825,77.2671039685,-0.267103968463
78,3.184,77.4053961861,0.594603813868,78.289949123,-0.28994912299
79,3.225,78.4076283085,0.592371691519,79.2880734836,-0.288073483593
80,3.267,79.434921585,0.565078414994,80.3101659465,-0.310165946451
81,3.308,80.4383601492,0.561639850799,81.307555553,-0.307555552975
82,3.35,81.4668945425,0.53310545753,82.328895797,-0.328895797
83,3.391,82.4715485665,0.528451433499,83.325551996,-0.325551995993
84,3.433,83.5013307822,0.498669217779,84.3461423705,-0.346142370505
85,3.474,84.5072043402,0.492795659807,85.3420684636,-0.342068463555
86,3.516,85.5382360196,0.4617639804,86.3619134468,-0.361913446832
87,3.557,86.5453282417,0.454671758273,87.357114937,-0.357114937024
88,3.599,87.5776059616,0.422394038413,88.3762213888,-0.376221388775
89,3.64,88.5859110342,0.414088965803,89.3707062272,-0.370706227155
90,3.682,89.6194263068,0.380573693194,90.389083641,-0.389083640988
91,3.723,90.6289334723,0.371066527661,91.382862473,-0.38286247302
92,3.765,91.6636727455,0.336327254479,92.4005232289,-0.400523228918
93,3.806,92.6743663025,0.325633697471,93.3936096409,-0.393609640948
94,3.848,93.7103109596,0.289689040359,94.4105692577,-0.410569257738
95,3.889,94.7221702628,0.277829737211,95.4029800235,-0.402980023451
96,3.931,95.7592966227,0.240703377286,96.4192574113,-0.419257411278
97,3.972,96.7722960828,0.227703917221,97.4110127382,-0.411012738161
98,4.013,97.7858477941,0.214152205941,98.4024528699,-0.40245286987
99,4.055,98.8246844838,0.175315516196,99.4177542268,-0.41775422676
100,4.096,99.839328912,0.160671087996,100.408576041,-0.408576040958
101,4.138,100.879266179,0.12073382119,101.423258754,-0.423258753912
102,4.179,101.894965405,0.10503459523,102.413492096,-0.41349209572
103,4.22,102.911170167,0.0888298330942,103.403447067,-0.403447066942
104,4.262,103.952673033,0.0473269669421,104.417267916,-0.417267915664
105,4.303,104.969866732,0.030133267671,105.406687079,-0.406687079313
106,4.344,105.987530709,0.0124692911947,106.395856402,-0.395856401689
107,4.385,107.005652105,-0.00565210517716,107.384786472,-0.384786471607
108,4.427,108.049065955,-0.0490659549272,108.397600409,-0.397600408969
109,4.468,109.068071541,-0.0680715407538,109.386081029,-0.386081028835
110,4.509,110.087492034,-0.087492034404,110.374358126,-0.374358126171
111,4.55,111.10731218,-0.107312180365,111.362444789,-0.362444789474
112,4.591,112.127516127,-0.127516127208,112.350354765,-0.350354765238
113,4.633,113.172983857,-0.17298385726,113.362191979,-0.362191978897
114,4.674,114.193913794,-0.193913794122,114.34978913,-0.349789129732
115,4.715,115.215175964,-0.215175964406,115.337255322,-0.337255321723
116,4.756,116.236752118,-0.236752118477,116.324607098,-0.324607097772
117,4.797,117.258623411,-0.258623410787,117.311861733,-0.311861732513
118,4.838,118.2807704,-0.280770399867,118.299037247,-0.299037246983
119,4.879,119.303173048,-0.303173048334,119.286152423,-0.286152423301
120,4.92,120.325810723,-0.325810722885,120.273226819,-0.27322681934
121,4.961,121.348662194,-0.348662194303,121.260280783,-0.260280783404
122,5.002,122.371705637,-0.371705637451,122.247335469,-0.247335468898
123,5.043,123.394918631,-0.394918631277,123.234412849,-0.234412849009
124,5.084,124.418278159,-0.41827815881,124.221535731,-0.221535731378
125,5.124,125.416796347,-0.416796346627,125.184648905,-0.184648904903
126,5.165,126.440375392,-0.440375392084,126.171932042,-0.171932042436
127,5.206,127.464028957,-0.464028956918,127.159333629,-0.159333628562
128,5.247,128.487731655,-0.487731655026,128.146879934,-0.146879933523
129,5.288,129.511457504,-0.511457504385,129.134598135,-0.134598135033
130,5.328,130.51021134,-0.510211339963,130.098418162,-0.0984181620487
131,5.369,131.533904236,-0.533904236423,131.086559454,-0.0865594539839
132,5.41,132.557539447,-0.557539446971,132.074959024,-0.07495902432
133,5.45,133.556125256,-0.556125255709,133.039529754,-0.0395297542289
134,5.491,134.579562599,-0.57956259861,134.028531434,-0.028531434019
135,5.532,135.602856142,-0.602856142031,135.017886326,-0.0178863255938
136,5.572,136.601023933,-0.601023933326,135.983483394,0.016516605541
137,5.613,137.62394427,-0.623944270242,136.973636691,0.0263633090747
138,5.653,138.621688924,-0.62168892446,137.940080116,0.0599198839063
139,5.694,139.644113883,-0.644113883385,138.931172062,0.0688279375948
140,5.735,140.666240061,-0.666240061381,139.922795183,0.0772048172228
141,5.775,141.663116782,-0.663116781754,140.890781646,0.109218353972
142,5.815,142.659646379,-0.659646379317,141.859348225,0.140651775138
143,5.856,143.680695688,-0.680695687634,142.852771133,0.147228867323
144,5.896,144.6764244,-0.676424399686,143.822630898,0.177369102051
145,5.937,145.696584245,-0.696584245305,144.81746314,0.182536860226
146,5.977,146.69137719,-0.691377189767,145.788781787,0.211218212568
147,6.017,147.685656901,-0.685656901499,146.760884658,0.239115341573
148,6.058,148.704224833,-0.704224832866,147.758149619,0.241850381302
149,6.098,149.697358936,-0.697358936194,148.731975239,0.268024760582
150,6.138,150.689873712,-0.689873711616,149.706720333,0.293279666546
151,6.179,151.706520767,-0.706520767382,150.706837413,0.293162586789
152,6.219,152.69767009,-0.697670089759,151.683589354,0.316410645665
153,6.259,153.688089049,-0.688089048894,152.661406188,0.338593811596
154,6.299,154.677739852,-0.6777398524,153.640338286,0.359661714023
155,6.339,155.666584168,-0.666584168018,154.620437181,0.379562818818
156,6.38,156.679271927,-0.679271926617,155.626304633,0.373695366652
157,6.42,157.666363481,-0.666363481258,156.608928981,0.391071018506
158,6.46,158.652529306,-0.65252930629,157.592883234,0.407116766159
159,6.5,159.637728896,-0.63772889647,158.578223739,0.421776260961
160,6.54,160.621921207,-0.621921206684,159.565008074,0.434991925521
161,6.58,161.605064652,-0.605064651948,160.553295059,0.446704940733
162,6.62,162.587117107,-0.587117107405,161.543144767,0.456855232809
163,6.66,163.568035908,-0.568035908325,162.53461854,0.465381460306
164,6.701,164.572255943,-0.572255942964,163.552630171,0.447369828982
165,6.741,165.550746201,-0.550746200907,164.547585828,0.452414172281
166,6.781,166.527970457,-0.527970456875,165.544358956,0.455641043642
167,6.821,167.503883873,-0.503883873155,166.543016132,0.456983868151
168,6.861,168.478441072,-0.478441072166,167.543625262,0.456374738063
169,6.901,169.451596136,-0.451596136454,168.5462556,0.453744399834
170,6.941,170.423302609,-0.423302608692,169.550977759,0.44902224115
171,6.981,171.393513492,-0.393513491683,170.557863722,0.442136277955
172,7.021,172.362181248,-0.362181248358,171.566986859,0.433013141485
173,7.06,173.30510067,-0.305100669695,172.553107273,0.446892727247
174,7.1,174.270578995,-0.270578995396,173.566869823,0.433130176956
175,7.14,175.23436958,-0.234369579843,174.583096133,0.416903866596
176,7.18,176.19642274,-0.196422739977,175.601865205,0.398134794925
177,7.22,177.156688253,-0.156688252868,176.623257489,0.376742511465
178,7.26,178.115115356,-0.115115355715,177.647354896,0.352645103531
179,7.3,179.071652746,-0.0716527458452,178.674240817,0.325759183255
180,7.34,180.026248581,-0.0262485807144,179.704000125,0.295999874623
181,7.38,180.978850478,0.0211495220932,180.7367192,0.263280800499
182,7.42,181.929405515,0.0705944848652,181.77248593,0.227514069659
183,7.46,182.87786023,0.12213976976,182.811389736,0.188610263817
184,7.5,183.824160621,0.175839378809,183.853521575,0.146478424657
185,7.54,184.768252146,0.231747853913,184.898973959,0.101026040863
186,7.579,185.686562071,0.313437929242,185.92157691,0.0784230902224
187,7.619,186.62612875,0.373871250192,186.973865258,0.026134741862
188,7.659,187.563321108,0.436678891516,188.029758682,-0.0297586820843
189,7.699,188.498082459,0.501917541103,189.089355994,-0.0893559943607
190,7.739,189.430355573,0.569644426718,190.152757625,-0.15275762524
191,7.779,190.360082684,0.639917315994,191.220065635,-0.220065635493
192,7.819,191.287205484,0.712794516437,192.291383729,-0.29138372936
193,7.859,192.211665125,0.788334875425,193.366817268,-0.366817267522
194,7.899,193.13340222,0.866597780207,194.44647328,-0.446473280067
195,7.939,194.052356842,0.947643157903,195.530460479,-0.530460479466
196,7.979,194.968468524,1.03153147551,196.618889274,-0.618889273538
197,8.019,195.88167626,1.11832373988,197.711871778,-0.711871778424
198,8.059,196.791918502,1.20808149775,198.809521832,-0.809521831557
199,8.099,197.699133164,1.30086683574,199.911955005,-0.91195500463
200,8.138,198.580692676,1.41930732411,200.9915446,-0.99154460038
